,Run_nr,HV,Epochs,Poor_epochs,Total_iterations
0,Run_1,0.559559061852705,1234,0,61701
1,Run_2,0.5568142240979286,1154,0,57701
2,Run_3,0.5604449200204663,1551,0,77551
3,Run_4,0.5630809243356499,1731,0,86515
4,Run_5,0.559939927595781,1092,0,54601
5,Run_6,0.5716329793041662,1989,0,99451
6,Run_7,0.5529974736366846,1120,0,56001
7,Run_8,0.5523663955915331,1244,0,62201
8,Run_9,0.5653733114796587,2028,0,101401
9,Run_10,0.5565808710306179,996,0,49801
10,Run_11,0.5549463835306643,1199,2,59951
11,Run_12,0.5612491279478848,1831,1,91551
12,Run_13,0.5632775342921821,1877,0,93820
13,Run_14,0.5612710923881674,1195,3,59751
14,Run_15,0.5570783972330112,798,0,39901
15,Run_16,0.5598649582314945,1088,4,54401
16,Run_17,0.5645017220463631,2052,0,102601
17,Run_18,0.5589741443715067,908,0,45401
18,Run_19,0.5575976940843653,1299,0,64951
19,Run_20,0.5599093572984946,1170,0,58501
20,Run_21,0.5598312471059514,1220,2,61001
21,Run_22,0.5558617863426707,1502,0,75101
22,Run_23,0.5621210502157951,1152,0,57601
23,Run_24,0.5635687340582858,1935,0,96751
24,Run_25,0.5654940461815141,1519,0,75951
25,Run_26,0.5524617909700675,1111,0,55551
26,Run_27,0.5613604383985603,1889,0,94451
27,Run_28,0.5526952110111107,832,0,41601
28,Run_29,0.5687515084974155,2341,0,117051
29,Run_30,0.5598047080043075,1171,4,58551
