execution_start_time,2021-07-26 02:12:05.698733
HV Benchmark,0.8597685466832298
execution_end_time,2021-07-26 03:21:34.842518
total_model_runs,10
average_run_time,0 days 00:06:49.457657400
total_duration,1:09:29.143785
start_time_formatted,"07/26/2021, 02:12:05"
end_time_formatted,"07/26/2021, 03:21:34"
HV obtained,0.8564388433028581
total_demand,7755.0
n,15
wt,0
tp,5
ref_point_max_f1_ATT,15
ref_point_min_f1_ATT,10
ref_point_max_f2_TRT,224
ref_point_min_f2_TRT,63
walkFactor,3
boardingTime,0.1
alightingTime,0.1
large_dist,10000
alpha_const_inter,0.5
con_r,6
con_minNodes,2
con_maxNodes,8
con_N_nodes,15
con_fleet_size,40
con_vehicle_capacity,20
con_lower_bound,0
con_upper_bound,1
method,GA
termination_criterion,StoppingByEvaluations
population_size,400
generations,200
number_of_runs,10
crossover_probability,0.8
mutation_probability,0.9
mutation_threshold,0.03
mutation_ratio,0.5
gen_compare_HV,40
HV_improvement_th,0.0001
crossover_distribution_index,5
mutation_distribution_index,10
tournament_size,2
max_evaluations,25000
number_of_variables,6
number_of_objectives,2
Number_of_initial_solutions,10000
